Ano,Município,Grau Instrução,Salário,SaldoMov
2007,317020,09,408232,731
2007,317070,01,18561,14
2007,317070,02,-79040,-162
2007,317070,03,-45789,-131
2007,317070,04,13169,78
2007,317070,05,22754,223
2007,317070,06,155012,319
2007,317070,07,330976,954
2007,317070,08,33873,81
2007,317070,09,67273,197
2007,320060,01,-10422,-1
2007,320060,02,-5283,13
2007,320060,03,-14273,66
2007,320060,04,-155622,96
2007,320060,05,-253937,53
2007,320060,06,-160519,55
2007,320060,07,-674421,229
2007,320060,08,15367,57
2007,320060,09,-312854,10
2007,320120,01,5781,17
2007,320120,02,-252055,-62
2007,320120,03,-496114,-134
2007,320120,04,-1698001,-29
2007,320120,05,-9170569,-732
2007,320120,06,-89303,332
2007,320120,07,-107128,1022
2007,320120,08,-644271,82
2007,320120,09,-299555,103
2007,320130,01,16606,30
2007,320130,02,-23117,-16
2007,320130,03,-26825,49
2007,320130,04,-24563,184
2007,320130,05,-388381,-10
2007,320130,06,-22452,353
2007,320130,07,737195,2048
2007,320130,08,-27505,82
2007,320130,09,-13896,77
2007,320320,01,-44073,-3
2007,320320,02,-273080,-227
2007,320320,03,-165814,-48
2007,320320,04,-224477,122
2007,320320,05,-445688,-224
2007,320320,06,-180993,272
2007,320320,07,263011,1384
2007,320320,08,-36164,52
2007,320320,09,-87225,38
2007,320430,01,-694,-1
2007,320430,02,-13278,0
2007,320430,03,-2135,-2
2007,320430,04,5139,10
2007,320430,05,9180,15
2007,320430,06,47,-2
2007,320430,07,-721,-1
2007,320430,08,-914,-2
2007,320430,09,1870,2
2007,320500,01,-16355,36
2007,320500,02,-134232,-93
2007,320500,03,-508164,-466
2007,320500,04,-487417,-131
2007,320500,05,-1742416,-700
2007,320500,06,-492725,297
2007,320500,07,-995678,2285
2007,320500,08,-70485,127
2007,320500,09,-760450,204
2007,320520,01,1298,22
2007,320520,02,-79685,-56
2007,320520,03,4390,176
2007,320520,04,-218402,50
2007,320520,05,-530671,249
2007,320520,06,-30628,603
2007,320520,07,255146,3014
2007,320520,08,-36304,95
2007,320520,09,-138039,64
2007,320530,01,4353,10
2007,320530,02,-156785,-82
2007,320530,03,-111200,-25
2007,320530,04,192997,930
2007,320530,05,-341136,909
2007,320530,06,-176429,718
2007,320530,07,-61000,4190
2007,320530,08,182477,698
2007,320530,09,-1146008,644
2007,330010,01,2227,6
2007,330010,02,-32120,2
2007,330010,03,-198237,-132
2007,330010,04,-94143,161
2007,330010,05,-255612,141
2007,330010,06,-51804,228
2007,330010,07,-344325,237
2007,330010,08,-9799,19
2007,330010,09,36185,114
2007,330040,01,-150,3
2007,330040,02,-12042,-7
2007,330040,03,-81904,-110
2007,330040,04,-215653,-215
2007,330040,05,-242796,-47
2007,330040,06,95596,378
2007,330040,07,-458318,282
2007,330040,08,-71622,18
2007,330040,09,-287274,13
2007,330045,01,-1436,-3
2007,330045,02,-3869,-4
2007,330045,03,-88641,-164
2007,330045,04,-57002,-55
2007,330045,05,29247,74
