Ano,Município,Faixa Empr Início Jan,Salário,SaldoMov
2007,293070,08,-49492,-9
2007,293070,09,-20594,-17
2007,293330,01,589909,1955
2007,293330,02,-331844,-174
2007,293330,03,-394108,-336
2007,293330,04,-230939,-36
2007,293330,05,-243480,-220
2007,293330,06,326,59
2007,293330,07,-214714,-251
2007,293330,08,156908,103
2007,293330,09,50899,199
2007,310400,01,236062,544
2007,310400,02,37075,-122
2007,310400,03,-34386,-65
2007,310400,04,99885,-37
2007,310400,05,-39462,-63
2007,310400,06,60265,96
2007,310400,07,-4744,278
2007,310400,08,263560,251
2007,310620,01,15828925,27850
2007,310620,02,-662337,384
2007,310620,03,-1506570,150
2007,310620,04,-404500,2989
2007,310620,05,-242547,3521
2007,310620,06,406331,6215
2007,310620,07,-2468236,-149
2007,310620,08,-1106343,1206
2007,310620,09,1253323,13305
2007,310670,01,1174093,1766
2007,310670,02,-75161,15
2007,310670,03,61216,491
2007,310670,04,240120,758
2007,310670,05,-223854,313
2007,310670,06,-695679,112
2007,310670,07,233076,957
2007,310670,08,363336,839
2007,310670,09,3770438,4915
2007,311860,01,2483556,5129
2007,311860,02,-137064,273
2007,311860,03,-473868,-257
2007,311860,04,-569873,761
2007,311860,05,255330,1516
2007,311860,06,-673453,432
2007,311860,07,362013,1115
2007,311860,08,-475777,-377
2007,311860,09,-6311957,-5450
2007,312230,01,908239,1947
2007,312230,02,-239654,-257
2007,312230,03,-169734,-83
2007,312230,04,-220925,-243
2007,312230,05,-228558,-21
2007,312230,06,-235628,-13
2007,312230,07,209854,167
2007,312230,08,-15834,133
2007,312230,09,-69972,7
2007,312510,01,155917,208
2007,312510,02,-10084,-4
2007,312510,03,-2803,16
2007,312510,04,3049,75
2007,312510,05,-66749,-45
2007,312510,06,-6602,16
2007,312510,07,132785,231
2007,312510,08,-112115,-161
2007,312770,01,1409360,2744
2007,312770,02,-282972,-370
2007,312770,03,-249971,-221
2007,312770,04,-134105,-34
2007,312770,05,-291883,-227
2007,312770,06,-264608,-262
2007,312770,07,-29811,56
2007,312770,08,-584939,-804
2007,313130,01,1113698,2140
2007,313130,02,-227598,-269
2007,313130,03,-123202,-92
2007,313130,04,-127701,-79
2007,313130,05,-277742,-19
2007,313130,06,421651,630
2007,313130,07,-1001961,-440
2007,313130,08,66853,214
2007,313130,09,928086,2171
2007,313170,01,537254,1073
2007,313170,02,-27266,-22
2007,313170,03,-19935,-27
2007,313170,04,-115921,-63
2007,313170,05,-60849,-81
2007,313170,06,-163084,-178
2007,313170,07,-335908,-287
2007,313170,08,101166,249
2007,313170,09,679481,972
2007,313670,01,1685408,3422
2007,313670,02,-373705,-446
2007,313670,03,-182967,-15
2007,313670,04,-51852,329
2007,313670,05,-283537,-19
2007,313670,06,-127561,603
2007,313670,07,90732,513
2007,313670,08,-144079,41
2007,313670,09,-93808,350
2007,314330,01,839930,2264
2007,314330,02,-280244,-266
2007,314330,03,-137546,14
2007,314330,04,-218307,154
2007,314330,05,-54521,184
2007,314330,06,-166035,4
2007,314330,07,-112868,36
2007,314330,08,-212186,6
2007,314330,09,28347,212
2007,314480,01,901443,1450
2007,314480,02,134948,-29
2007,314480,03,75213,-24
2007,314480,04,32204,313
2007,314480,05,420070,597
2007,314480,06,571340,1137
2007,314480,07,351707,-94
2007,314480,08,32072,56
2007,314480,09,-185392,180
2007,314610,01,369609,733
2007,314610,02,-48474,-92
2007,314610,03,-42243,-70
2007,314610,04,-167176,-116
2007,314610,05,-71993,-148
2007,314610,06,-30307,93
2007,314610,07,270227,305
2007,315180,01,618996,1296
2007,315180,02,-95337,-109
2007,315180,03,-80539,1
2007,315180,04,88464,279
2007,315180,05,112175,305
2007,315180,06,-249014,-205
2007,315180,07,-410178,62
2007,315180,08,-58711,-25
2007,315180,09,-46263,65
2007,315250,01,672372,1636
2007,315250,02,-73423,-22
2007,315250,03,-186280,-109
2007,315250,04,-37966,264
2007,315250,05,-202086,-179
2007,315250,06,-174449,-70
2007,315250,07,-226625,-288
2007,315250,08,83531,489
2007,315250,09,76831,105
2007,316720,01,553865,1058
2007,316720,02,-28223,6
2007,316720,03,94457,60
2007,316720,04,-64625,118
2007,316720,05,-62965,49
2007,316720,06,267344,559
2007,316720,07,-351313,-19
2007,316720,08,115809,571
2007,316720,09,-7955,116
2007,317010,01,774934,1552
2007,317010,02,-132867,-152
2007,317010,03,37819,282
2007,317010,04,-250435,-112
2007,317010,05,-237479,-271
2007,317010,06,-334785,-9
2007,317010,07,-277769,-225
2007,317010,08,-253893,-534
2007,317010,09,-16494,128
2007,317020,01,2490972,4883
2007,317020,02,-354201,-244
2007,317020,03,-342700,160
2007,317020,04,-632813,133
2007,317020,05,-326373,454
2007,317020,06,-811188,-61
2007,317020,07,193603,1035
2007,317020,08,-86564,554
2007,317020,09,311433,1911
2007,317070,01,577475,1086
2007,317070,02,-94500,-141
2007,317070,03,-70085,67
2007,317070,04,-141780,-127
2007,317070,05,-796,324
2007,317070,06,-67931,-136
2007,317070,07,12031,144
2007,317070,08,302375,356
2007,320060,01,165132,598
2007,320060,02,-147950,-31
2007,320060,03,8711,151
2007,320060,04,-64632,140
2007,320060,05,-250964,-103
2007,320060,06,-95408,257
2007,320060,07,-101019,8
2007,320060,08,-503902,-339
2007,320060,09,-581932,-103
2007,320120,01,699142,1483
2007,320120,02,-125659,-2
2007,320120,03,-160583,188
2007,320120,04,-448208,-109
2007,320120,05,-117442,9
2007,320120,06,72880,237
2007,320120,07,-43078,66
2007,320120,08,-87727,12
2007,320120,09,-12540540,-1285
2007,320130,01,1037405,2076
2007,320130,02,-131892,145
2007,320130,03,-260668,-15
2007,320130,04,-146542,210
2007,320130,05,272728,538
2007,320130,06,-46689,86
2007,320130,07,-379853,-200
2007,320130,08,-99666,-107
2007,320130,09,-17761,64
2007,320320,01,108446,1226
2007,320320,02,-239771,125
2007,320320,03,-555270,-115
2007,320320,04,-212407,101
2007,320320,05,9195,137
2007,320320,06,36439,248
2007,320320,07,-121372,-262
2007,320320,08,-168572,-124
2007,320320,09,-51191,30
2007,320430,01,8549,18
2007,320430,02,-410,-4
2007,320430,03,-1279,-2
2007,320430,04,-8366,7
2007,320500,01,1533080,2910
2007,320500,02,-392555,-101
2007,320500,03,-876898,15
2007,320500,04,-1126460,-90
2007,320500,05,-460774,-258
2007,320500,06,-396879,631
2007,320500,07,-587771,-29
2007,320500,08,-1757950,-822
2007,320500,09,-1141715,-697
2007,320520,01,1318137,3289
2007,320520,02,-588295,-194
2007,320520,03,-243127,443
2007,320520,04,-836556,-205
2007,320520,05,-237179,21
2007,320520,06,107802,638
2007,320520,07,-201499,-121
2007,320520,08,-145057,306
2007,320520,09,52879,40
2007,320530,01,2495657,4931
2007,320530,02,-707757,164
2007,320530,03,-946597,76
2007,320530,04,-762626,940
2007,320530,05,97346,834
2007,320530,06,-1135748,-348
2007,320530,07,-1181378,-207
2007,320530,08,321844,972
2007,320530,09,206528,630
2007,330010,01,595713,1170
2007,330010,02,5731,28
2007,330010,03,-15451,28
2007,330010,04,-167903,-80
2007,330010,05,18731,12
2007,330010,06,-177587,-118
2007,330010,07,-447806,-169
2007,330010,08,33798,58
2007,330010,09,-792854,-153
2007,330040,01,310272,807
2007,330040,02,-243253,-96
2007,330040,03,-210612,-75
2007,330040,04,-155363,11
2007,330040,05,-177129,-111
2007,330040,06,-189014,-127
2007,330040,07,-315005,-223
2007,330040,08,-502934,42
2007,330040,09,208875,87
2007,330045,01,526048,1114
2007,330045,02,-88482,-95
2007,330045,03,-25684,-21
2007,330045,04,-159110,-142
2007,330045,05,-110771,-170
2007,330045,06,-120652,-51
2007,330045,07,-27059,-58
2007,330045,09,24250,43
2007,330070,01,618918,1287
2007,330070,02,-39927,30
2007,330070,03,-166287,4
2007,330070,04,-218039,-76
2007,330070,05,-67890,84
2007,330070,06,145026,213
2007,330070,07,-5698,228
2007,330070,08,-2145,24
2007,330100,01,-1610438,-2357
2007,330100,02,-84009,-62
2007,330100,03,-206715,-41
2007,330100,04,-196282,55
2007,330100,05,-160777,100
2007,330100,06,-583755,-292
2007,330100,07,-1417267,-834
2007,330100,08,-252708,-282
2007,330100,09,445895,1123
2007,330170,01,3350312,4383
2007,330170,02,-81901,109
2007,330170,03,-326231,93
2007,330170,04,-525921,208
2007,330170,05,-438133,121
2007,330170,06,269651,881
2007,330170,07,-1275675,150
2007,330170,08,240389,400
2007,330170,09,1428608,3048
2007,330200,01,418896,644
2007,330200,02,25731,51
2007,330200,03,9767,80
2007,330200,04,-16247,87
2007,330200,05,137310,188
2007,330200,06,-33529,-48
2007,330200,07,-153824,-62
2007,330200,08,-31504,10
2007,330200,09,364240,179
