Ano,Município,Raça Cor,Salário,SaldoMov
2007,314480,08,694178,1364
2007,314480,09,150218,122
2007,314480,{ñ,7263,8
2007,314610,01,-3603,-3
2007,314610,02,47868,302
2007,314610,04,-21946,-34
2007,314610,06,-8008,-14
2007,314610,08,252409,430
2007,314610,09,12923,24
2007,315180,01,-1703,0
2007,315180,02,1950,1372
2007,315180,04,-70145,60
2007,315180,06,-5152,-13
2007,315180,08,-120821,96
2007,315180,09,71102,145
2007,315180,{ñ,4362,9
2007,315250,01,-16890,3
2007,315250,02,-209316,1236
2007,315250,04,39416,181
2007,315250,06,17578,30
2007,315250,08,87855,338
2007,315250,09,14262,39
2007,315250,{ñ,-1000,-1
2007,316720,01,5472,1
2007,316720,04,9776,141
2007,316720,06,31168,61
2007,316720,08,912831,2111
2007,316720,09,-1141,21
2007,316720,{ñ,-158,-1
2007,317010,01,3098,8
2007,317010,02,-292313,948
2007,317010,04,-59190,41
2007,317010,06,-14246,-20
2007,317010,08,-398657,-424
2007,317010,09,68887,105
2007,317010,{ñ,1452,1
2007,317020,01,6265,39
2007,317020,04,108474,758
2007,317020,06,-16350,3
2007,317020,08,1125981,3616
2007,317020,09,-214482,36
2007,317020,{ñ,1755,5
2007,317070,01,4209,16
2007,317070,02,402451,1250
2007,317070,04,97290,150
2007,317070,06,-17680,-3
2007,317070,08,61915,167
2007,317070,09,-31626,-5
2007,317070,{ñ,230,-2
2007,320060,01,-1920,-5
2007,320060,02,-781138,23
2007,320060,04,-69977,83
2007,320060,06,-68309,11
2007,320060,08,-690894,378
2007,320060,09,27407,83
2007,320060,{ñ,12867,5
2007,320120,01,-11646,-4
2007,320120,02,-5394425,232
2007,320120,04,-1738854,70
2007,320120,06,-67851,126
2007,320120,08,-5475340,224
2007,320120,09,-63150,-49
2007,320120,{ñ,51,0
2007,320130,01,-12389,-5
2007,320130,02,-338037,595
2007,320130,04,92169,309
2007,320130,06,348739,520
2007,320130,08,162696,1424
2007,320130,09,-28669,-46
2007,320320,01,-49119,-38
2007,320320,02,-541654,354
2007,320320,04,22493,348
2007,320320,06,8831,9
2007,320320,08,-652412,641
2007,320320,09,18158,54
2007,320320,{ñ,-800,-2
2007,320430,01,-584,-1
2007,320430,02,8968,11
2007,320430,04,-15495,-6
2007,320430,06,-643,0
2007,320430,08,4813,12
2007,320430,09,1435,3
2007,320500,01,-90822,4
